"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"GMOY000112-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000113-RA"	0	0	0	0	0	0	0	0	0	0	0.309053	0.15997
"GMOY000114-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000115-RA"	0	1.213045	0	0	0	0	0	0	0	0	0	0
"GMOY000116-RA"	1.556878	1.98189	0	1.789777	0	1.882098	1.625519	1.252115	2.38688	2.538896	2.86727	0
"GMOY000117-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000118-RA"	5.148646	3.245588	4.486233	6.002113	6.180372	4.566255	4.02168	6.12975	2.870857	3.99852	7.018965	5.565661
"GMOY000119-RA"	0.24355	0	0	0	0	0	0	0	0	0	0	0
"GMOY000120-RA"	70.582932	73.236053	59.319164	64.288048	68.930763	71.059616	87.022667	90.68634	61.298275	64.798637	70.366814	67.948311
"GMOY000121-RA"	13.224253	10.041464	11.135419	9.599255	14.36427	15.142426	15.310616	11.104805	10.46298	8.289474	7.838131	10.598168
"GMOY000122-RA"	30.93696	30.652946	32.788403	29.278904	39.858028	39.6586	50.353992	56.528923	47.204437	40.367077	46.147331	45.107418
"GMOY000123-RA"	35.497738	35.898228	34.448322	43.633911	28.674736	32.001968	29.226046	28.929106	31.436501	28.808153	29.801994	34.546638
"GMOY000124-RA"	5.015906	5.061489	4.333919	4.383558	5.54757	5.846834	5.138572	5.255004	3.257716	3.468415	2.945006	4.273617
"GMOY000125-RA"	5.585851	6.377653	6.342237	4.589475	6.567292	5.621069	7.135309	6.427676	8.173496	7.369297	6.567853	6.921188
"GMOY000126-RA"	16.207035	16.692755	16.992016	18.844488	21.04694	19.794758	18.824345	19.970407	18.075563	17.372784	15.066794	14.315563
"GMOY000127-RA"	10.957443	10.354055	7.535798	11.486507	9.653482	9.990724	10.875053	9.876585	8.734432	8.2353	7.884278	7.550012
"GMOY000128-RA"	0	0	0	0	0	0	0	0	2.015754	0	0	0
"GMOY000129-RA"	14.277667	13.213175	12.140535	16.024788	7.444832	10.81473	15.93584	15.194638	9.372296	13.633537	14.73873	12.050988
"GMOY000130-RA"	0	0	0	0	0	0.288317	0.603763	0.430784	0.320793	0.857736	0	1.544517
"GMOY000131-RA"	0	0	0	0	0	0.235996	0	0	0	0	0	0
"GMOY000132-RA"	3814.074219	3801.447998	4093.71167	4087.404785	4089.859863	4085.700195	2121.217041	2147.571777	4484.709473	4485.5	3412.491455	3443.354248
"GMOY012942-RA"	14.22692	9.944471	18.796021	14.639036	18.389797	10.723259	20.214563	17.92705	11.312284	10.94092	18.248911	15.76873
"GMOY000133-RA"	8.282063	7.077896	9.116888	7.918591	8.446078	7.520982	6.450684	6.451886	8.264596	7.836854	11.560425	12.08956
"GMOY000134-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000135-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000136-RA"	1.225976	1.211164	1.039107	2.766997	2.705236	2.848397	1.094334	0.887617	1.209491	1.274579	1.32164	1.488863
"GMOY013186-RA"	0	0	0	0	0	0	0.114841	0	0	0	0	0
"GMOY013187-RA"	2.423404	3.594759	0.937112	1.193319	1.176054	3.107364	0.772026	0.708649	5.779189	5.674812	3.233092	3.687535
"GMOY013188-RA"	717.586365	690.324402	843.023804	815.534302	996.84967	991.851868	512.791077	510.172852	663.687622	675.281372	478.737091	454.74585
"GMOY000137-RA"	27.27276	23.373188	25.044054	23.562992	27.865814	26.609482	25.925732	24.482346	29.249464	22.857342	24.36339	24.164963
"GMOY000138-RA"	3.43374	3.366054	1.146936	1.699858	7.242434	5.757674	5.191167	5.832132	4.279944	4.173601	3.871171	3.104151
"GMOY000139-RA"	11.308537	8.619904	6.808771	8.503626	9.855224	7.935661	10.467443	9.154464	12.632922	9.400776	7.469977	8.849171
"GMOY000139-RB"	22.309605	21.300175	20.877298	20.888979	19.229828	22.525017	13.607632	20.473085	15.055515	16.057341	11.882419	10.738892
"GMOY000140-RA"	6.91386	8.036689	7.421551	7.368429	6.440982	5.877091	6.39224	5.235438	3.020286	4.39957	4.864765	3.673729
"GMOY000141-RA"	1.063293	2.241109	2.027735	2.083651	3.014144	1.823848	4.604146	2.166113	5.55878	5.088636	4.04784	4.671398
"GMOY000142-RA"	0	0	0	0	0	0	0.749236	0	0	0	0	0
"GMOY000143-RA"	0.319603	0	0.409018	0.226035	0.272323	0.269431	0.320734	0.289803	0.489116	0	0.18811	0
"GMOY000144-RA"	7.195885	7.537617	11.959492	10.94542	13.892744	9.372099	10.397402	10.47682	8.577442	8.503669	8.225183	7.843901
"GMOY000145-RA"	0	0	0	0	0	0	1.110832	1.115766	0	0	0	0
"GMOY000146-RA"	14.027828	13.3368	14.390182	12.688614	18.329933	16.038385	19.408222	20.200928	18.670601	18.436497	16.412998	14.683687
"GMOY000148-RA"	185.851898	186.998001	248.420395	246.030548	239.456131	237.46669	230.090057	221.394791	146.810501	156.916977	159.266251	150.425766
"GMOY000149-RA"	4.353752	4.504995	5.268487	7.701829	5.075527	3.919199	5.163911	5.012012	6.132636	5.641277	4.2529	4.180511
"GMOY000150-RA"	67.566689	69.952339	58.062542	58.945839	68.811951	71.0812	62.984356	65.591484	79.707359	84.252289	83.936882	92.056938
"GMOY000151-RA"	6.877048	8.721437	6.60177	10.711552	10.284904	9.132254	7.383596	7.298856	9.459198	12.048071	9.152003	8.431669
"GMOY000152-RA"	1.509707	0.544644	1.568276	1.86033	2.045743	2.127937	2.187778	0.178486	1.743783	2.13606	0.936769	0
"GMOY013080-RA"	0	0	0	0	0.237702	0	0	0	0	0	0	0
"GMOY013079-RA"	0.673179	0	1.181108	0.950249	1.267471	2.683072	2.151702	3.488603	1.026337	0	1.905791	1.851491
"GMOY012995-RA"	27.034498	31.836103	34.724934	21.349514	0	22.353045	31.90391	34.143715	35.982914	25.981165	23.774656	26.472448
"GMOY000154-RA"	1.588939	0	2.214867	1.342221	0	2.466821	0	0	1.381349	4.781184	1.473402	2.118106
"GMOY000155-RA"	4.636044	3.710655	4.414276	6.879466	2.991893	3.424284	2.070329	2.017288	2.064428	0.675047	1.811639	0.631934
"GMOY000156-RA"	98.986374	83.049255	102.333458	90.339409	89.970802	85.443184	80.085899	73.713295	124.076897	135.152405	122.193596	134.051544
"GMOY000157-RA"	18.816711	19.477064	22.376154	17.254225	23.127312	16.783369	19.486885	23.919559	19.513748	26.656933	7.849184	8.062886
"GMOY000158-RA"	2.161431	2.238227	3.419091	4.28805	1.839251	1.111407	1.463987	2.317093	1.620209	1.866842	1.217212	1.370772
"GMOY000159-RA"	3.323455	4.551762	5.686891	5.451679	6.285198	4.643823	6.951697	6.829443	5.320516	3.513118	5.767065	4.913598
"GMOY000160-RA"	9.726276	13.096246	6.982383	9.263458	6.299173	6.708179	9.319826	7.963982	11.421991	10.779427	10.558881	8.958333
"GMOY000161-RA"	6.107593	4.641306	6.539506	2.34866	7.182336	6.599102	7.274334	5.986088	6.783662	4.855567	1.950537	3.072016
"GMOY000162-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000163-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000164-RA"	5.887341	5.056077	5.666397	6.196141	6.367608	6.312836	6.734983	6.500707	10.597466	8.744024	8.384942	7.742846
"GMOY000165-RA"	0	0	0	0	3.870091	7.501328	2.311719	1.488254	5.414077	2.987319	3.130176	0
"GMOY000166-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000167-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000168-RA"	6.701087	5.492625	8.47139	7.49454	9.112164	8.906339	9.121665	9.362211	5.848215	5.628932	6.038346	6.204609
"GMOY000169-RA"	0	0	0	0	1.501062	0	0	0	0	0	0	0
"GMOY000170-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000171-RA"	76.647667	75.063057	71.171616	73.277916	84.677429	85.197899	75.66877	78.652771	63.06572	71.82328	70.809296	64.091148
"GMOY000172-RA"	7.884766	10.574861	8.56384	7.821616	7.828197	5.951209	4.991002	6.867338	7.620337	5.073414	7.178567	8.529623
"GMOY000172-RB"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000173-RA"	0.718491	0	0	0	3.060775	0	0.452065	2.114367	1.785532	0.975487	1.38103	0.164464
"GMOY000174-RA"	9.005538	9.762466	10.134431	12.296456	10.122808	9.740535	11.004612	11.199515	10.859881	10.099432	10.583147	10.052046
"GMOY000175-RA"	397.835236	373.166748	469.803925	491.144257	361.530701	401.640076	370.637634	352.866943	288.779358	267.467987	288.495575	270.878815
"GMOY000176-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000177-RA"	1.363697	3.297817	2.674984	0.893834	2.002058	1.988537	2.783539	2.33864	1.643951	2.00528	0.957538	2.428657
"GMOY000178-RA"	34.308704	38.095474	43.826683	41.070522	37.246098	35.807316	39.455936	39.740498	34.320946	38.602097	44.321884	36.688286
"GMOY000179-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000180-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000181-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000182-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000183-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000184-RA"	0.658117	0.753899	0.427439	0	0.751853	0.442279	0	0.280601	0.366228	1.088188	0.94064	0.900479
"GMOY000185-RA"	0	0.806036	0	0	0	0	1.397545	0	0	0	1.237218	0
"GMOY000186-RA"	1.036544	0.902073	0.462215	0	1.179241	0.606939	0.574207	0.940932	0.319892	0.942947	0	1.201839
"GMOY000187-RA"	0.546346	0.736099	0.877052	1.034679	0.835367	0.810764	0	0.59869	1.201042	0.447888	1.084263	0.285199
"GMOY000188-RA"	0	0	0.027245	0.107308	0.043743	0	0	0.042254	0	0.087346	0	0
"GMOY013129-RA"	0	0	0	0	0	0	0	0	0	0.781656	0	0
"GMOY000189-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000190-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000191-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012275-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000192-RA"	0.337944	0.215109	0	0	0	0	0	0	0	0	1.644458	2.151692
"GMOY000193-RA"	4.034873	6.755377	2.297641	4.075301	4.86769	4.064036	6.083483	4.867711	6.358428	8.538287	7.543881	6.172059
"GMOY000194-RA"	8.892554	9.283268	15.326016	16.524651	17.774065	17.947252	15.739451	15.9841	9.422709	11.946038	7.848141	7.053895
"GMOY000195-RA"	15.596725	14.679078	12.083638	16.927128	24.241961	27.223173	23.643751	23.109341	10.624272	11.765373	11.122754	11.423391
"GMOY000196-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000197-RA"	0	0	1.045556	0	0	1.704094	0	0	0	0	0	0
"GMOY000198-RA"	1.594019	1.141751	0.513006	0.545257	0.854838	1.593591	0.926877	0.641434	1.324315	0.980195	1.052884	1.284349
"GMOY000199-RA"	9.215063	9.821416	12.000879	11.271375	12.646661	13.149804	12.573978	11.566524	14.907199	12.584791	14.559388	14.999336
"GMOY000200-RA"	13.896907	14.089371	17.910555	18.442005	12.652454	9.614965	13.251151	12.61497	10.874873	13.601629	16.504059	12.853573
"GMOY000201-RA"	1.575951	1.512117	0.606474	0.469961	1.693461	4.650409	0.810369	2.441924	5.51816	1.195293	3.632055	0.994155
"GMOY000202-RA"	3.04618	4.347297	6.267799	5.586093	4.584872	1.909237	6.467392	5.313537	6.470086	5.660916	5.401928	4.58964
"GMOY000203-RA"	0	0	0	0	0	7.877894	0	0	0	0	0	0
"GMOY000204-RA"	11.123898	9.625312	13.241667	13.322263	11.395915	10.586023	10.549361	11.862756	12.796313	14.017128	11.690838	12.652985
"GMOY000205-RA"	39.189251	32.333958	27.594141	24.150309	22.683197	27.192984	30.648882	24.589039	36.765022	36.081295	26.588154	32.45853
"GMOY000206-RA"	61.595295	55.985878	83.332741	88.036842	43.326363	44.455593	42.530087	45.192291	30.232399	27.460039	25.08345	26.696411
"GMOY000207-RA"	20.499882	18.308929	22.505888	17.367947	17.454199	18.438662	19.755037	21.415628	21.234388	18.686029	19.342773	18.741934
"GMOY000208-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000209-RA"	11.048055	12.343279	14.340181	8.475596	8.713886	11.747463	11.504746	11.75845	15.503833	13.226753	9.201392	11.543303
"GMOY000210-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000211-RA"	35.695827	36.935009	38.638477	38.610729	36.520527	32.961857	33.29784	35.504871	36.765751	35.125637	31.31472	32.30204
"GMOY000212-RA"	0.185228	0.187849	0	0	0	0.334393	0.211447	0	1.361781	0.888274	0.33378	0.850499
"GMOY000213-RA"	89.51799	91.477684	125.864571	123.803925	62.521366	61.660439	51.783527	49.319202	60.009987	65.645561	67.622566	68.591599
"GMOY000214-RA"	0	0	0.430958	0	1.194324	0.685116	0	1.548061	0	0	0.435683	1.535393
