"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"MSTRG.10113"	0	0	0	0	0	0	0	0	0	0	0	0.555501
"MSTRG.10114"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10115"	11.413784	11.576032	12.770946	12.110736	12.228319	10.406274	12.053636	13.747725	11.884182	12.198446	12.600691	12.911103
"MSTRG.10116"	11.563563	10.695668	12.276	8.630081	11.186469	13.387466	11.699497	12.218426	11.888038	13.235963	10.915094	11.61625
"MSTRG.10117"	7.15545	7.107868	7.872324	9.426263	9.177468	9.866003	9.42962	9.881774	6.185593	8.33305	6.332053	8.093715
"MSTRG.10118"	32.070709	29.440155	35.847885	32.980907	27.046278	25.988194	28.168785	25.388241	22.929544	16.722549	19.61462	18.30022
"MSTRG.10119"	4.119408	4.045824	5.441586	4.392373	3.045832	4.404195	4.178637	5.305991	4.582816	3.079364	3.107325	3.426624
"MSTRG.1012"	56.185028	58.010441	54.247601	52.073692	63.819244	64.231911	68.869949	68.555153	54.449387	60.682995	52.742302	57.289833
"MSTRG.10120"	4.144218	5.917014	5.380683	4.153812	5.283453	4.539794	4.758508	5.20518	5.521004	4.912097	3.371619	4.879239
"MSTRG.10121"	0	0	0	0.527148	0	0	0	0	0	0	0	0
"MSTRG.10122"	1.064968	0.520823	2.025493	0	1.703377	1.796178	0.682397	1.449553	0.955037	0.972476	2.319175	2.278211
"MSTRG.10123"	3.798056	2.412385	0.494023	0.953334	0	0	1.184258	2.317641	0	3.122339	0	0
"MSTRG.10124"	2.592406	1.977042	2.342644	3.164887	1.251629	1.083089	2.548775	1.591564	1.626201	0.983118	2.456305	2.163503
"MSTRG.10125"	2.300287	2.643056	1.608181	2.642921	4.13153	5.136281	4.434828	3.893848	2.994072	3.364304	2.784339	4.208423
"MSTRG.10126"	21.161774	22.218851	27.234314	27.690496	22.578936	20.668669	19.49551	19.195723	19.530283	19.547831	19.021168	19.303844
"MSTRG.10127"	6.072256	7.361108	5.595251	8.743929	3.749444	4.645308	5.983557	6.350925	3.921726	2.856596	5.994592	7.110559
"MSTRG.10128"	8.103356	6.118753	5.272531	5.042903	8.161862	9.251736	10.400688	10.837994	12.535886	16.788452	11.691335	7.608098
"MSTRG.10129"	12.983967	17.324095	11.100675	7.594062	12.046423	13.020113	14.985046	16.60261	15.591587	13.118133	11.282559	13.744652
"MSTRG.1013"	74.386353	74.780647	62.423397	63.300865	66.888741	70.351242	79.967857	79.212532	82.602371	76.241348	78.29258	77.894768
"MSTRG.10130"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10131"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10132"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10133"	19.669035	16.294342	19.576157	19.894182	18.106667	18.841644	16.694225	16.077822	13.415022	12.686214	12.162766	14.305628
"MSTRG.10134"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10135"	11.145895	7.737391	21.316662	20.709929	8.543141	7.248873	5.030652	5.79165	11.883765	10.896373	10.99706	14.980794
"MSTRG.10136"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10137"	0.981583	0	1.526987	0	0	0	0	0	0	0	0	0
"MSTRG.10138"	2.447028	0	1.256504	1.247171	0.411511	0	0	0	0.44073	0.501071	0	0.597304
"MSTRG.10139"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.1014"	7.854589	8.030553	5.591573	7.101192	6.269786	8.804641	9.959556	13.932599	12.569732	11.050682	9.591234	9.090593
"MSTRG.10140"	0.051146	0.245802	0.21779	0.140855	0.119502	0.347933	0.052088	0.249388	0	0.059965	0.23036	0.343056
"MSTRG.10141"	11.354859	8.59339	9.175316	10.271213	5.827082	8.496627	11.889829	12.670444	12.816575	13.666158	12.060385	14.326924
"MSTRG.10142"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10143"	20.521667	26.729052	25.479956	25.481127	27.135269	23.963226	22.868696	27.05533	25.209808	21.140459	30.047569	29.226913
"MSTRG.10144"	0	0	0.123103	0	0	0.101321	0	0	0	0.103726	0	0.196174
"MSTRG.10145"	0	4.733122	2.129312	4.153656	0	0	6.08469	2.987287	3.406656	2.319854	1.52567	0
"MSTRG.10146"	34.515778	33.17421	31.463238	33.3578	34.37043	35.132271	31.374388	31.726616	46.233536	48.150654	47.618385	47.957832
"MSTRG.10147"	0	0.967854	0	0	1.119183	0	1.754224	1.26475	1.530145	1.851138	4.734949	4.696424
"MSTRG.10148"	24.152687	24.277584	21.51462	21.873009	24.289671	22.298962	23.226282	25.272692	24.185793	25.276258	20.839071	20.908667
"MSTRG.10149"	83.305016	89.435196	95.868744	101.301865	95.746941	90.74913	105.189728	93.263634	92.747414	94.615273	87.253731	80.146225
"MSTRG.1015"	5.912042	4.049907	2.09832	4.025796	2.914582	4.498684	6.154466	4.307668	6.807248	6.149683	5.72571	5.482582
"MSTRG.10150"	26.669865	24.13224	12.09551	13.544921	24.294861	31.72669	27.833174	24.014643	58.962364	56.728767	54.560738	48.516872
"MSTRG.10151"	4.25535	1.845491	2.430839	2.200505	1.898253	2.84223	1.502992	0	2.593773	1.146243	6.386352	3.905357
"MSTRG.10152"	2.126826	2.212833	1.379019	0.0477	2.853967	3.023097	2.831758	1.41033	3.918169	2.094142	2.016337	2.870337
"MSTRG.10153"	0	0	0.797697	0	0	0	0	0	0	0	0	0
"MSTRG.10154"	0.463295	0	1.314921	3.269904	0	0	1.068324	2.111736	0.573247	0.554038	0	1.052997
"MSTRG.10155"	5.6803	2.428852	2.803323	4.720889	2.524887	5.481856	4.47642	4.89601	3.133478	3.318951	2.532985	1.901726
"MSTRG.10156"	11.646345	11.584907	12.498189	12.648363	10.220467	10.156865	16.443605	15.844003	15.248896	17.624317	15.616759	13.914569
"MSTRG.10157"	27.049137	21.753254	16.584974	15.845298	30.973608	26.143526	23.120258	21.606138	29.522585	30.788935	28.001339	27.292042
"MSTRG.10158"	18.004795	22.823872	18.853992	17.923664	17.306828	14.763966	20.12043	21.582518	20.329626	23.414755	22.06418	24.137949
"MSTRG.10159"	20.73035	28.09206	22.718527	20.327923	19.960621	21.009438	19.21125	26.010836	20.76688	18.170851	20.761339	21.2941
"MSTRG.1016"	18.97135	17.77688	18.989323	17.105068	11.640395	16.818115	15.36939	14.753212	10.908585	12.582971	18.634275	16.945908
"MSTRG.10160"	1.133882	2.174411	2.461598	1.350607	1.731413	1.469657	2.025115	2.741846	1.962206	1.702284	0.918771	1.130673
"MSTRG.10161"	89.903847	89.449387	82.265015	82.026108	88.232506	81.337311	82.471336	89.67617	97.752663	91.600815	101.123848	95.095978
"MSTRG.10162"	161.139572	166.730408	123.963898	142.84758	118.642265	141.306	130.704926	143.987762	147.835098	143.933838	138.459167	139.626938
"MSTRG.10163"	12.803956	11.974513	12.170847	11.539771	14.557883	15.294769	18.913961	16.238852	11.741313	13.675747	13.329968	12.440207
"MSTRG.10164"	1.119933	1.900944	0.322334	0.628617	1.442858	1.418968	1.728932	1.339	0.984139	2.417572	0.650347	0.250534
"MSTRG.10165"	0.52501	0.284057	1.000929	0.20695	0.997616	1.051247	0.434609	0.461905	0.528614	0.139981	0.338513	0.332595
"MSTRG.10166"	10.790404	5.332827	7.488235	7.371377	8.116769	10.579446	7.821463	7.237538	8.537097	9.08113	7.084433	9.553226
"MSTRG.10167"	0	0.599035	1.461188	0	1.370961	0.639808	0.712084	0.666155	0.941256	3.111237	2.057824	1.397169
"MSTRG.10168"	32.064053	31.016258	34.450211	31.149113	33.2281	36.744167	32.382721	32.163475	38.212952	38.35014	36.229691	36.878754
"MSTRG.10169"	5.689195	6.917755	9.838998	8.001836	9.937483	12.343569	9.176538	9.346892	7.214056	7.118812	7.90425	9.066213
"MSTRG.1017"	2.481363	2.034104	1.108234	0	2.190827	3.164112	0.843423	3.426015	2.560016	2.656133	4.338305	1.793014
"MSTRG.10170"	6.753638	6.186787	7.286264	6.813089	7.151407	6.385308	6.441876	5.98527	7.99153	8.851425	8.43308	7.842276
"MSTRG.10171"	14.296219	21.354212	27.899315	17.167179	28.886608	29.092678	38.3358	39.106705	33.196709	30.182775	17.926704	21.290924
"MSTRG.10172"	2.117195	1.602557	0	0	0	0	0	0	0	0	0	0
"MSTRG.10173"	0	0	0	0	0	0	3.782243	3.313843	0	0	0	0
"MSTRG.10174"	4.132747	5.669196	3.306816	3.883673	4.857331	3.847751	5.794153	7.144053	3.6296	4.079844	7.477478	5.02023
"MSTRG.10175"	0	0	6.108882	0	0	0	0	0	9.201027	7.683195	0	0
"MSTRG.10176"	14.917587	15.499329	12.66878	14.64259	13.11662	12.212674	18.011993	18.564888	16.468836	15.985496	16.780178	14.873284
"MSTRG.10177"	45.663132	45.671032	32.339283	29.514734	35.935165	31.649597	31.218151	35.55159	38.952141	35.428429	31.64996	39.857018
"MSTRG.10178"	11.652986	8.651718	6.053629	6.493757	6.389043	5.307626	10.647101	9.231749	8.969593	13.505658	8.71595	10.949787
"MSTRG.10179"	0.953522	0.996487	0.545757	0.373246	1.506594	1.566932	0.812892	1.641301	1.028705	2.212122	0.872094	1.267085
"MSTRG.1018"	0	0	0	0	0	0	0	0	0	0.288087	0	0
"MSTRG.10180"	2.786618	6.135173	6.536846	6.654209	6.54249	8.568356	6.708555	7.752605	3.63852	4.755886	3.203218	3.193269
"MSTRG.10181"	11.529935	12.850395	8.274463	8.799378	8.5916	7.612643	9.410792	12.22121	3.858445	6.252666	9.533417	8.424505
"MSTRG.10182"	20.589499	21.90716	25.145729	25.509666	21.433863	20.152908	19.736317	19.600668	23.841774	22.385851	23.45734	23.964285
"MSTRG.10183"	3.584888	3.583915	5.130375	5.953385	3.642571	3.602314	4.54726	4.417805	5.151295	6.834284	4.940152	5.498641
"MSTRG.10184"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10185"	3.128031	2.167475	0	3.125965	4.014544	0	0	0	0	1.870233	3.690794	2.190167
"MSTRG.10186"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10187"	8.192276	7.822282	11.266906	8.994138	9.769956	11.764417	10.472439	7.696514	5.878424	7.150795	5.724069	6.102467
"MSTRG.10188"	13.015617	15.413813	10.334124	12.668132	10.48382	11.613798	17.398016	17.12162	9.230195	8.740599	8.073621	9.096913
"MSTRG.10189"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.1019"	20.851475	20.711044	25.494535	23.05114	32.588501	28.931479	31.940834	33.129265	32.040203	30.690929	27.247963	25.472916
"MSTRG.10190"	782.094543	806.884277	1029.557251	1015.700623	1246.708252	1243.448364	1187.661987	1160.731079	738.207275	738.049133	795.145386	764.569458
"MSTRG.10191"	0.577317	0	1.083236	1.306363	0.502411	0	0	0	0	0	1.142553	0
"MSTRG.10192"	16.101257	13.007243	10.002251	8.687228	16.99276	14.851652	12.088255	14.060555	13.360378	9.413059	15.33495	9.959715
